location,source,target
both_ui/achievement_tips|0|3,完成済,完成済
both_ui/bind_mail0|0|7|0,認証コード送信,認証コード送信
both_ui/bind_mail0|0|8|0,連携,連携
both_ui/bind_mail0|0|10,メールアドレス:,メールアドレス:
both_ui/bind_mail1|0|5|0,認証コード送信,認証コード送信
both_ui/bind_mail1|0|6|0,連携,連携
both_ui/bind_mail1|0|8,メールアドレス:,メールアドレス:
both_ui/bind_yostar_mail|0|5|0,認証コード送信,認証コード送信
both_ui/bind_yostar_mail|0|6|0,連携,連携
both_ui/config|0|2,設定,設定
both_ui/config|0|4|1,ログアウト,ログアウト
both_ui/config|0|5|1,再起動,再起動
both_ui/config|0|7|0|0|1,BGM,BGM
both_ui/config|0|7|0|0|2|0,BGM,BGM
both_ui/config|0|7|0|0|3|0,再生中,再生中
both_ui/config|0|7|0|0|3|1|0|0,メイン画面,メイン画面
both_ui/config|0|7|0|0|3|1|0|6|0|0|3,連続再生,連続再生
both_ui/config|0|7|0|0|3|1|0|6|1|0|3,ランダム再生,ランダム再生
both_ui/config|0|7|0|0|3|1|1|0,対局,対局
both_ui/config|0|7|0|0|3|1|1|6|0|0|3,連続再生,連続再生
both_ui/config|0|7|0|0|3|1|1|6|1|0|3,ランダム再生,ランダム再生
both_ui/config|0|7|0|0|4|0,SE,SE
both_ui/config|0|7|0|0|5|0,リーチBGM,リーチBGM
both_ui/config|0|7|0|0|6|0,VOICE,VOICE
both_ui/config|0|7|0|0|8|0,SP Voice,SP Voice
both_ui/config|0|7|0|1|0|0|3,高画質モード,高画質モード
both_ui/config|0|7|0|1|1|0|3,省エネモード,省エネモード
both_ui/config|0|7|0|1|3,モード,モード
both_ui/config|0|7|0|1|4,（再起動で適用）,（再起動で適用）
both_ui/config|0|7|0|2|0|0|3,中文(简体),中文(简体)
both_ui/config|0|7|0|2|1|0|3,中文(繁體),中文(繁體)
both_ui/config|0|7|0|2|2|0|3,English,English
both_ui/config|0|7|0|2|5,（再起動で適用）,（再起動で適用）
both_ui/config|0|7|0|2|6|0|3,한국어,한국어
both_ui/config|0|7|1|0|0,対局,対局
both_ui/config|0|7|1|0|1,打牌,打牌
both_ui/config|0|7|1|0|2|0|3,ワンクリック,ワンクリック
both_ui/config|0|7|1|0|3|0|3,ダブルタップ,ダブルタップ
both_ui/config|0|7|1|0|4|0|3,ダブルタップ打牌&ツモ切り,ダブルタップ打牌&ツモ切り
both_ui/config|0|7|1|1|0,コメント,コメント
both_ui/config|0|7|1|1|2|0|3,全員,全員
both_ui/config|0|7|1|1|3|0|3,友人のみ,友人のみ
both_ui/config|0|7|1|1|4|0|3,無効,無効
both_ui/config|0|7|1|3|0,うごく着せ替え,うごく着せ替え
