location,context,source,target
AchievementAchievement.csv,name_jp,四象・白銀の始まり,四象・白銀の始まり
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀士1を達成する,四人麻雀段位・雀士1を達成する
AchievementAchievement.csv,name_jp,四象・金耀の奮進,四象・金耀の奮進
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀傑1を達成する,四人麻雀段位・雀傑1を達成する
AchievementAchievement.csv,name_jp,四象・翠玉の試練,四象・翠玉の試練
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀豪1を達成する,四人麻雀段位・雀豪1を達成する
AchievementAchievement.csv,name_jp,四象・王座の激闘,四象・王座の激闘
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀聖1を達成する,四人麻雀段位・雀聖1を達成する
AchievementAchievement.csv,name_jp,☆四方統一☆,☆四方統一☆
AchievementAchievement.csv,desc_jp,四人麻雀段位・魂天を達成する,四人麻雀段位・魂天を達成する
AchievementAchievement.csv,name_jp,三垣・白銀の始まり,三垣・白銀の始まり
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀士1を達成する,三人麻雀段位・雀士1を達成する
AchievementAchievement.csv,name_jp,三垣・金耀の奮進,三垣・金耀の奮進
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀傑1を達成する,三人麻雀段位・雀傑1を達成する
AchievementAchievement.csv,name_jp,三垣・翠玉の試練,三垣・翠玉の試練
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀豪1を達成する,三人麻雀段位・雀豪1を達成する
AchievementAchievement.csv,name_jp,三垣・王座の激闘,三垣・王座の激闘
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀聖1を達成する,三人麻雀段位・雀聖1を達成する
AchievementAchievement.csv,name_jp,☆三元帰一☆,☆三元帰一☆
AchievementAchievement.csv,desc_jp,三人麻雀段位・魂天を達成する,三人麻雀段位・魂天を達成する
AchievementAchievement.csv,name_jp,四象・新進気鋭,四象・新進気鋭
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に1位を1回獲得する,段位戦・四人麻雀の対局で、終局時に1位を1回獲得する
AchievementAchievement.csv,name_jp,四象・破竹之勢,四象・破竹之勢
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に1位を連続3回獲得する,段位戦・四人麻雀の対局で、終局時に1位を連続3回獲得する
AchievementAchievement.csv,name_jp,四象・絶好調,四象・絶好調
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に1位を連続5回獲得する,段位戦・四人麻雀の対局で、終局時に1位を連続5回獲得する
AchievementAchievement.csv,name_jp,四象・勝利への定石,四象・勝利への定石
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に2位以上を1回獲得する,段位戦・四人麻雀の対局で、終局時に2位以上を1回獲得する
AchievementAchievement.csv,name_jp,四象・余裕綽綽,四象・余裕綽綽
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に2位以上を連続5回獲得する,段位戦・四人麻雀の対局で、終局時に2位以上を連続5回獲得する
AchievementAchievement.csv,name_jp,四象・常勝将軍,四象・常勝将軍
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に2位以上を連続10回獲得する,段位戦・四人麻雀の対局で、終局時に2位以上を連続10回獲得する
AchievementAchievement.csv,name_jp,四象・三十六計逃げるに如かず,四象・三十六計逃げるに如かず
