location,source,target
both_ui/achievement_tips|0|3,完成済,완료
both_ui/bind_mail0|0|7|0,認証コード送信,인증코드 발송
both_ui/bind_mail0|0|8|0,連携,연동
both_ui/bind_mail0|0|10,メールアドレス:,메일 주소:
both_ui/bind_mail1|0|5|0,認証コード送信,인증코드 발송
both_ui/bind_mail1|0|6|0,連携,연동
both_ui/bind_mail1|0|8,メールアドレス:,메일 주소:
both_ui/bind_yostar_mail|0|5|0,認証コード送信,인증코드 발송
both_ui/bind_yostar_mail|0|6|0,連携,연동
both_ui/config|0|2,設定,설정
both_ui/config|0|4|1,ログアウト,로그아웃
both_ui/config|0|5|1,再起動,재시작
both_ui/config|0|7|0|0|1,BGM,BGM
both_ui/config|0|7|0|0|2|0,BGM,BGM
both_ui/config|0|7|0|0|3|0,再生中,재생중
both_ui/config|0|7|0|0|3|1|0|0,メイン画面,메인 화면
both_ui/config|0|7|0|0|3|1|0|6|0|0|3,連続再生,연속재생
both_ui/config|0|7|0|0|3|1|0|6|1|0|3,ランダム再生,랜덤재생
both_ui/config|0|7|0|0|3|1|1|0,対局,대국
both_ui/config|0|7|0|0|3|1|1|6|0|0|3,連続再生,연속재생
both_ui/config|0|7|0|0|3|1|1|6|1|0|3,ランダム再生,랜덤재생
both_ui/config|0|7|0|0|4|0,SE,SE
both_ui/config|0|7|0|0|5|0,リーチBGM,리치 BGM
both_ui/config|0|7|0|0|6|0,VOICE,VOICE
both_ui/config|0|7|0|0|8|0,SP Voice,SP Voice
both_ui/config|0|7|0|1|0|0|3,高画質モード,고화질 모드
both_ui/config|0|7|0|1|1|0|3,省エネモード,저화질 모드
both_ui/config|0|7|0|1|3,モード,모드
both_ui/config|0|7|0|1|4,（再起動で適用）,（재시작 시 적용）
both_ui/config|0|7|0|2|0|0|3,中文(简体),중국어(간체)
both_ui/config|0|7|0|2|1|0|3,中文(繁體),중국어(번체)
both_ui/config|0|7|0|2|2|0|3,English,영어
both_ui/config|0|7|0|2|5,（再起動で適用）,（재시작 시 적용）
both_ui/config|0|7|0|2|6|0|3,한국어,한국어
