location,context,source,target
AchievementAchievement.csv,name_jp,四象・白銀の始まり,4인 마작・실버 달성
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀士1を達成する,4인 마작 등급・작사1 달성
AchievementAchievement.csv,name_jp,四象・金耀の奮進,4인 마작・골드 도달
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀傑1を達成する,4인 마작 등급・작걸1 달성
AchievementAchievement.csv,name_jp,四象・翠玉の試練,4인 마작・시련의 플래티넘
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀豪1を達成する,4인 마작 등급・작호1 달성
AchievementAchievement.csv,name_jp,四象・王座の激闘,4인 마작・왕좌의 게임
AchievementAchievement.csv,desc_jp,四人麻雀段位・雀聖1を達成する,4인 마작 등급・작성1 달성
AchievementAchievement.csv,name_jp,☆四方統一☆,☆4마의 신☆
AchievementAchievement.csv,desc_jp,四人麻雀段位・魂天を達成する,4인 마작 등급・혼천 달성
AchievementAchievement.csv,name_jp,三垣・白銀の始まり,3인 마작・실버 달성
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀士1を達成する,3인 마작 등급전・작사1 달성
AchievementAchievement.csv,name_jp,三垣・金耀の奮進,3인 마작・골드 도달
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀傑1を達成する,3인 마작 등급전・작걸1 달성
AchievementAchievement.csv,name_jp,三垣・翠玉の試練,3인 마작・시련의 플래티넘
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀豪1を達成する,3인 마작 등급전・작호1 달성
AchievementAchievement.csv,name_jp,三垣・王座の激闘,3인 마작・왕좌의 게임
AchievementAchievement.csv,desc_jp,三人麻雀段位・雀聖1を達成する,3인 마작 등급전・작성1 달성
AchievementAchievement.csv,name_jp,☆三元帰一☆,☆3마의 신☆
AchievementAchievement.csv,desc_jp,三人麻雀段位・魂天を達成する,3인 마작 등급전・혼천 달성
AchievementAchievement.csv,name_jp,四象・新進気鋭,4인 마작・대형신인
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に1位を1回獲得する,"등급전・4인 마작의 대국에서, 최종결과 1위를 1회 달성"
AchievementAchievement.csv,name_jp,四象・破竹之勢,4인 마작・파죽지세
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に1位を連続3回獲得する,"등급전・4인 마작의 대국에서, 최종결과 1위를 연속 3회 달성"
AchievementAchievement.csv,name_jp,四象・絶好調,4인 마작・절호조
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に1位を連続5回獲得する,"등급전・4인 마작의 대국에서, 최종결과 1위를 연속 5회 달성"
AchievementAchievement.csv,name_jp,四象・勝利への定石,4인 마작・승리로 가는 길
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に2位以上を1回獲得する,"등급전・4인 마작의 대국에서, 최종결과 2위 이상을 1회 달성"
AchievementAchievement.csv,name_jp,四象・余裕綽綽,4인 마작・여유작작
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に2位以上を連続5回獲得する,"등급전・4인 마작의 대국에서, 최종결과 2위 이상을 연속 5회 달성"
AchievementAchievement.csv,name_jp,四象・常勝将軍,4인 마작・승승장구
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に2位以上を連続10回獲得する,"등급전・4인 마작의 대국에서, 최종결과 2위 이상을 연속 10회 달성"
AchievementAchievement.csv,name_jp,四象・三十六計逃げるに如かず,4인 마작・36계 줄행랑
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に3位以上を1回獲得する,"등급전・4인 마작의 대국에서, 최종결과 3위 이상을 1회 달성"
AchievementAchievement.csv,name_jp,四象・状況把握,4인 마작・상황파악
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に3位以上を連続5回獲得する,"등급전・4인 마작의 대국에서, 최종결과 3위 이상을 연속 5회 달성"
AchievementAchievement.csv,name_jp,四象・無敗の伝説,4인 마작・전설의 무패
AchievementAchievement.csv,desc_jp,段位戦・四人麻雀の対局で、終局時に3位以上を連続10回獲得する,"등급전・4인 마작의 대국에서, 최종결과 3위 이상을 연속 10회 달성"
AchievementAchievement.csv,name_jp,三垣・新進気鋭,3인 마작・대형신인
AchievementAchievement.csv,desc_jp,段位戦・三人麻雀の対局で、終局時に1位を1回獲得する,"등급전・3인 마작 대국에서, 최종 순위 1위를 1회 달성"
AchievementAchievement.csv,name_jp,三垣・破竹之勢,3인 마작・파죽지세
AchievementAchievement.csv,desc_jp,段位戦・三人麻雀の対局で、終局時に1位を連続3回獲得する,"등급전・3인 마작 대국에서, 최종 순위 1위를 연속 3회 달성"
AchievementAchievement.csv,name_jp,三垣・絶好調,3인 마작・절호조
AchievementAchievement.csv,desc_jp,段位戦・三人麻雀の対局で、終局時に1位を連続5回獲得する,"등급전・3인 마작 대국에서, 최종 순위 1위를 연속 5회 달성"
AchievementAchievement.csv,name_jp,三垣・三十六計逃げるに如かず,3인 마작・36계 줄행랑
AchievementAchievement.csv,desc_jp,段位戦・三人麻雀の対局で、終局時に2位以上を1回獲得する,"등급전・3인 마작 대국에서, 최종 순위 2위 이상을 1회 달성"
AchievementAchievement.csv,name_jp,三垣・状況把握,3인 마작・상황파악
