location,context,source,target
ActivityActivity.csv,name_jp,圣夜的宝物,圣夜的宝物
ActivityActivity.csv,name_jp,圣夜的礼物箱,圣夜的礼物箱
ActivityActivity.csv,name_jp,新角色 新装版up,新角色 新装版up
ActivityActivity.csv,name_jp,春节夺宝战,春节夺宝战
ActivityActivity.csv,name_jp,春节的礼品箱,春节的礼品箱
ActivityActivity.csv,name_jp,二階堂のご褒美,二階堂のご褒美
ActivityActivity.csv,name_jp,報酬交換,報酬交換
ActivityActivity.csv,name_jp,对局点数活动,对局点数活动
ActivityActivity.csv,name_jp,排名活动,排名活动
ActivityActivity.csv,name_jp,古役活动,古役活动
ActivityActivity.csv,name_jp,夏の神社参拝,夏の神社参拝
ActivityActivity.csv,name_jp,ビーチパーティ,ビーチパーティ
ActivityActivity.csv,name_jp,,
ActivityActivity.csv,name_jp,月宮殿のお役目,月宮殿のお役目
ActivityActivity.csv,name_jp,月宮殿の商い処,月宮殿の商い処
ActivityActivity.csv,name_jp,二之宮花の休日チャレンジ,二之宮花の休日チャレンジ
ActivityActivity.csv,name_jp,ドラさんモード,ドラさんモード
ActivityActivity.csv,name_jp,ハロウィンイベント,ハロウィンイベント
ActivityActivity.csv,name_jp,ハロウィン交換所,ハロウィン交換所
ActivityActivity.csv,name_jp,千織のお悩み,千織のお悩み
ActivityActivity.csv,name_jp,配牌公開,配牌公開
ActivityActivity.csv,name_jp,魂天初詣,魂天初詣
ActivityActivity.csv,name_jp,初詣屋台,初詣屋台
ActivityActivity.csv,name_jp,春節期間限定\\nスタンプ交換所,春節期間限定\\nスタンプ交換所
ActivityActivity.csv,name_jp,芳華春,芳華春
ActivityActivity.csv,name_jp,起動：春休み作戦,起動：春休み作戦
ActivityActivity.csv,name_jp,確認：作戦進捗,確認：作戦進捗
ActivityActivity.csv,name_jp,一姫の\\nバイト大冒険,一姫の\\nバイト大冒険
ActivityActivity.csv,name_jp,バイト大冒険\\nのクエスト,バイト大冒険\\nのクエスト
ActivityActivity.csv,name_jp,バイト大冒険\\nの報酬,バイト大冒険\\nの報酬
ActivityActivity.csv,name_jp,メイドの務め,メイドの務め
ActivityActivity.csv,name_jp,甘口派？辛口派？,甘口派？辛口派？
ActivityActivity.csv,name_jp,どっちも派！,どっちも派！
ActivityActivity.csv,name_jp,朝葉高校体育祭,朝葉高校体育祭
ActivityActivity.csv,name_jp,試練の道1st Season,試練の道1st Season
ActivityActivity.csv,name_jp,夏祭り・のんびり\\nサマーデイ,夏祭り・のんびり\\nサマーデイ
ActivityActivity.csv,name_jp,のんびり\\nサマーデイ,のんびり\\nサマーデイ
ActivityActivity.csv,name_jp,夏祭り・軽庫娘も\\nビーチパーティ？,夏祭り・軽庫娘も\\nビーチパーティ？
AudioBgm.csv,name_jp,早春の花見,早春の花見
AudioBgm.csv,unlock_desc_jp,,
AudioBgm.csv,name_jp,真夏の律動,真夏の律動
AudioBgm.csv,unlock_desc_jp,イベント限定,イベント限定
AudioBgm.csv,name_jp,竹取の囁き,竹取の囁き
CharacterEmoji.csv,unlock_desc_jp,契約を結ぶ,契約を結ぶ
CharacterEmoji.csv,after_unlock_desc_jp,,
CharacterEmoji.csv,unlock_desc_jp,,
CharacterEmoji.csv,unlock_desc_jp,イベント,イベント
CharacterEmoji.csv,after_unlock_desc_jp,2019.09.28,2019.09.28
CharacterEmoji.csv,after_unlock_desc_jp,2019.10.31,2019.10.31
CharacterEmoji.csv,after_unlock_desc_jp,2019.11.10,2019.11.10
CharacterEmoji.csv,after_unlock_desc_jp,2019.12.12,2019.12.12
CharacterEmoji.csv,after_unlock_desc_jp,2019.12.27,2019.12.27
CharacterEmoji.csv,unlock_desc_jp,スタンプ交換所,スタンプ交換所
CharacterEmoji.csv,after_unlock_desc_jp,2020.2.29,2020.2.29
CharacterEmoji.csv,unlock_desc_jp,着せ替え入手,着せ替え入手
CharacterEmoji.csv,after_unlock_desc_jp,クリスマスフェス,クリスマスフェス
CharacterEmoji.csv,after_unlock_desc_jp,仮装舞踏会,仮装舞踏会
CharacterEmoji.csv,after_unlock_desc_jp,ビーチパーティ,ビーチパーティ
CharacterEmoji.csv,after_unlock_desc_jp,新年初詣,新年初詣
CharacterEmoji.csv,after_unlock_desc_jp,春容万象,春容万象
ChestChest.csv,name_jp,お祈り,お祈り
ChestChest.csv,desc_jp,祈りをするたびに信仰1つ入手します。同時に、雀士キャラクターと出会ったり、各種装飾品や贈り物を入手したりできます。\\n\\n雀士キャラクター入手確率：5%\\n装飾品入手確率：15%\\n贈り物入手確率：80%\\n\\n再度入手した雀士キャラクターは願いの石に変換されます。\\n再度入手した装飾品は星の石に変換されます。,祈りをするたびに信仰1つ入手します。同時に、雀士キャラクターと出会ったり、各種装飾品や贈り物を入手したりできます。\\n\\n雀士キャラクター入手確率：5%\\n装飾品入手確率：15%\\n贈り物入手確率：80%\\n\\n再度入手した雀士キャラクターは願いの石に変換されます。\\n再度入手した装飾品は星の石に変換されます。
ChestChest.csv,name_jp,祈願,祈願
ChestChestShop.csv,name_jp,三上千織,三上千織
ChestChestShop.csv,name_jp,藤田佳奈,藤田佳奈
ChestChestShop.csv,name_jp,相原舞,相原舞
ChestChestShop.csv,name_jp,撫子,撫子
ChestChestShop.csv,name_jp,八木唯,八木唯
ChestChestShop.csv,name_jp,九条璃雨,九条璃雨
ChestChestShop.csv,name_jp,立直演出：青炎,立直演出：青炎
ChestChestShop.csv,name_jp,立直演出：凍結,立直演出：凍結
ChestChestShop.csv,name_jp,立直演出：火焔,立直演出：火焔
ChestChestShop.csv,name_jp,和了演出：黒炎,和了演出：黒炎
ChestChestShop.csv,name_jp,和了演出：花火,和了演出：花火
ChestChestShop.csv,name_jp,和了演出：爆炎,和了演出：爆炎
ChestChestShop.csv,name_jp,和了演出：烈風,和了演出：烈風
ChestChestShop.csv,name_jp,和了演出：桜吹雪,和了演出：桜吹雪
ChestChestShop.csv,name_jp,子ネコの手,子ネコの手
ChestChestShop.csv,name_jp,爆竹の立直棒,爆竹の立直棒
ChestChestShop.csv,name_jp,水餃子の立直棒,水餃子の立直棒
ChestChestShop.csv,name_jp,にぼし立直棒,にぼし立直棒
ChestChestShop.csv,name_jp,ねぎの立直棒,ねぎの立直棒
ChestChestShop.csv,name_jp,骨の立直棒,骨の立直棒
ChestChestShop.csv,name_jp,クリムゾン立直棒,クリムゾン立直棒
ChestChestShop.csv,name_jp,24Kゴールド棒,24Kゴールド棒
ChestChestShop.csv,name_jp,『真剣勝負』,『真剣勝負』
ChestChestShop.csv,name_jp,『激闘』,『激闘』
ChestChestShop.csv,name_jp,新春の雀卓,新春の雀卓
ChestChestShop.csv,name_jp,立直演出：残影,立直演出：残影
ChestChestShop.csv,name_jp,立直演出：羽,立直演出：羽
ChestChestShop.csv,name_jp,和了演出：炎の嵐,和了演出：炎の嵐
ChestChestShop.csv,name_jp,和了演出：電子,和了演出：電子
ChestChestShop.csv,name_jp,和了演出：赤い薔薇,和了演出：赤い薔薇
ChestChestShop.csv,name_jp,ジニア,ジニア
ChestChestShop.csv,name_jp,カーヴィ,カーヴィ
ChestChestShop.csv,name_jp,四宮夏生,四宮夏生
ChestChestShop.csv,name_jp,ワン次郎,ワン次郎
ChestChestShop.csv,name_jp,一ノ瀬空,一ノ瀬空
ChestChestShop.csv,name_jp,明智英樹,明智英樹
ChestChestShop.csv,name_jp,立直演出：ドットコイン,立直演出：ドットコイン
ChestChestShop.csv,name_jp,立直演出：龍舞,立直演出：龍舞
ChestChestShop.csv,name_jp,和了演出：ドットKO,和了演出：ドットKO
ChestChestShop.csv,name_jp,和了演出：逆鱗,和了演出：逆鱗
ChestChestShop.csv,name_jp,悪断ちの立直棒,悪断ちの立直棒
ChestChestShop.csv,name_jp,アイスバーの立直棒,アイスバーの立直棒
ChestChestShop.csv,name_jp,サラ,サラ
ChestChestShop.csv,name_jp,二之宮 花,二之宮 花
ChestChestShop.csv,name_jp,『出陣』,『出陣』
ChestChestShop.csv,name_jp,雀魂夏祭りの雀卓,雀魂夏祭りの雀卓
ChestChestShop.csv,name_jp,スイカの雀卓,スイカの雀卓
ChestChestShop.csv,name_jp,和了演出：ゴースト,和了演出：ゴースト
ChestChestShop.csv,name_jp,立直演出：コウモリ,立直演出：コウモリ
ChestChestShop.csv,name_jp,小悪魔の立直棒,小悪魔の立直棒
ChestChestShop.csv,name_jp,ゴーストの麻雀牌,ゴーストの麻雀牌
ChestChestShop.csv,name_jp,白石奈々,白石奈々
ChestChestShop.csv,name_jp,小鳥遊雛田,小鳥遊雛田
ChestChestShop.csv,name_jp,『一触即発』,『一触即発』
ChestChestShop.csv,name_jp,和了演出：スポットライト,和了演出：スポットライト
ChestChestShop.csv,name_jp,和了演出：マジカル,和了演出：マジカル
ChestChestShop.csv,name_jp,立直演出：非常ベル,立直演出：非常ベル
ChestChestShop.csv,name_jp,立直演出：マジカル,立直演出：マジカル
ChestChestShop.csv,name_jp,マジカルの立直棒,マジカルの立直棒
ChestChestShop.csv,name_jp,五十嵐陽菜,五十嵐陽菜
ChestChestShop.csv,name_jp,涼宮杏樹,涼宮杏樹
ChestChestShop.csv,name_jp,ジョセフ,ジョセフ
ChestChestShop.csv,name_jp,斎藤治,斎藤治
ChestChestShop.csv,name_jp,和了演出：新春花火,和了演出：新春花火
ChestChestShop.csv,name_jp,立直演出：庚子の威,立直演出：庚子の威
ChestChestShop.csv,name_jp,金龍魚の立直棒,金龍魚の立直棒
ChestChestShop.csv,name_jp,お年玉の麻雀牌,お年玉の麻雀牌
ChestChestShop.csv,name_jp,錦鯉の雀卓,錦鯉の雀卓
ChestChestShop.csv,name_jp,北見紗和子,北見紗和子
ChestChestShop.csv,name_jp,エイン,エイン
ChestChestShop.csv,name_jp,和了演出：静寂な群星,和了演出：静寂な群星
ChestChestShop.csv,name_jp,和了演出：エリスの瞳,和了演出：エリスの瞳
ChestChestShop.csv,name_jp,立直演出：星隕,立直演出：星隕
ChestChestShop.csv,name_jp,立直演出：鮮血・ロンギヌス,立直演出：鮮血・ロンギヌス
ChestChestShop.csv,name_jp,荊棘のクリムソンムーンの立直棒,荊棘のクリムソンムーンの立直棒
ChestChestShop.csv,name_jp,,
ChestChestShop.csv,name_jp,願いの石,願いの石
DesktopChest.csv,name_jp,銀の宝箱,銀の宝箱
DesktopChest.csv,name_jp,金の宝箱,金の宝箱
DesktopChest.csv,name_jp,玉の宝箱,玉の宝箱
DesktopChest.csv,name_jp,王者の宝箱,王者の宝箱
DesktopChest.csv,name_jp,一姫の宝箱,一姫の宝箱
DesktopMatchmode.csv,room_name_jp,銅の間,銅の間
DesktopMatchmode.csv,room_name_jp,銀の間,銀の間
DesktopMatchmode.csv,room_name_jp,金の間,金の間
DesktopMatchmode.csv,room_name_jp,玉の間,玉の間
DesktopMatchmode.csv,room_name_jp,乱闘の間,乱闘の間
DesktopMatchmode.csv,room_name_jp,王座の間,王座の間
DesktopMatchmode.csv,room_name_jp,交流の間,交流の間
DesktopMatchmode.csv,room_name_jp,ドラさんモード,ドラさんモード
DesktopMatchmode.csv,room_name_jp,配牌公開,配牌公開
DesktopMatchmode.csv,room_name_jp,龍の割目,龍の割目
DesktopMatchmode.csv,room_name_jp,試練の道,試練の道
EventsBaseTask.csv,desc_jp,対戦で1回ロンあがりする,対戦で1回ロンあがりする
EventsBaseTask.csv,desc_jp,対戦で合計6局放銃しないで最後まで打つ,対戦で合計6局放銃しないで最後まで打つ
EventsBaseTask.csv,desc_jp,立直を含めて1回あがる,立直を含めて1回あがる
EventsBaseTask.csv,desc_jp,立直を含めて3回あがる,立直を含めて3回あがる
EventsBaseTask.csv,desc_jp,立直を含めて5回和了する,立直を含めて5回和了する
EventsBaseTask.csv,desc_jp,断幺九を含めて2回あがる,断幺九を含めて2回あがる
EventsBaseTask.csv,desc_jp,断幺九を含めて4回和了する,断幺九を含めて4回和了する
EventsBaseTask.csv,desc_jp,断幺九を含めて6回あがる,断幺九を含めて6回あがる
EventsBaseTask.csv,desc_jp,平和を含めて1回あがる,平和を含めて1回あがる
EventsBaseTask.csv,desc_jp,平和を含めて3回あがる,平和を含めて3回あがる
EventsBaseTask.csv,desc_jp,平和を含めて5回あがる,平和を含めて5回あがる
EventsBaseTask.csv,desc_jp,混一色または清一色を含めて1回和了する,混一色または清一色を含めて1回和了する
EventsBaseTask.csv,desc_jp,混一色または清一色を含めて2回あがる,混一色または清一色を含めて2回あがる
EventsBaseTask.csv,desc_jp,清一色を含めて1回あがる,清一色を含めて1回あがる
EventsBaseTask.csv,desc_jp,一盃口を含めて1回あがる,一盃口を含めて1回あがる
EventsBaseTask.csv,desc_jp,一盃口を含めて2回あがる,一盃口を含めて2回あがる
EventsBaseTask.csv,desc_jp,二盃口を含めて1回あがる,二盃口を含めて1回あがる
EventsBaseTask.csv,desc_jp,混全帯幺九または純全帯幺九を含めて1回あがる,混全帯幺九または純全帯幺九を含めて1回あがる
EventsBaseTask.csv,desc_jp,混全帯幺九または純全帯幺九を含めて2回あがる,混全帯幺九または純全帯幺九を含めて2回あがる
EventsBaseTask.csv,desc_jp,裏ドラ（数不問）を含めて1回あがる,裏ドラ（数不問）を含めて1回あがる
EventsBaseTask.csv,desc_jp,裏ドラ（数不問）を含めて2回あがる,裏ドラ（数不問）を含めて2回あがる
EventsBaseTask.csv,desc_jp,裏ドラ（数不問）を含めて5回あがる,裏ドラ（数不問）を含めて5回あがる
EventsBaseTask.csv,desc_jp,三色同順を含めて1回あがる,三色同順を含めて1回あがる
EventsBaseTask.csv,desc_jp,三色同刻を含めて1回あがる,三色同刻を含めて1回あがる
EventsBaseTask.csv,desc_jp,対々和を含めて1回和了する,対々和を含めて1回和了する
EventsBaseTask.csv,desc_jp,立直、断幺九と平和を含めて1回あがる,立直、断幺九と平和を含めて1回あがる
EventsBaseTask.csv,desc_jp,三色同順と純全帯幺九を含めて1回あがる,三色同順と純全帯幺九を含めて1回あがる
EventsBaseTask.csv,desc_jp,役牌:白・發・中のいずれかを含めて1回あがる,役牌:白・發・中のいずれかを含めて1回あがる
EventsBaseTask.csv,desc_jp,役牌:自風牌・場風牌のいずれかを含めて1回あがる,役牌:自風牌・場風牌のいずれかを含めて1回あがる
EventsBaseTask.csv,desc_jp,立直,立直
EventsBaseTask.csv,desc_jp,门前清自摸和,门前清自摸和
EventsBaseTask.csv,desc_jp,平和,平和
EventsBaseTask.csv,desc_jp,一盃口,一盃口
EventsBaseTask.csv,desc_jp,七对子,七对子
EventsBaseTask.csv,desc_jp,两立直,两立直
EventsBaseTask.csv,desc_jp,二盃口,二盃口
EventsBaseTask.csv,desc_jp,天和,天和
EventsBaseTask.csv,desc_jp,地和,地和
EventsBaseTask.csv,desc_jp,四暗刻,四暗刻
EventsBaseTask.csv,desc_jp,四暗刻单骑,四暗刻单骑
EventsBaseTask.csv,desc_jp,国士无双,国士无双
EventsBaseTask.csv,desc_jp,国士十三面,国士十三面
EventsBaseTask.csv,desc_jp,九莲宝灯,九莲宝灯
EventsBaseTask.csv,desc_jp,纯正九莲,纯正九莲
EventsBaseTask.csv,desc_jp,断幺九,断幺九
EventsBaseTask.csv,desc_jp,红宝牌,红宝牌
EventsBaseTask.csv,desc_jp,宝牌,宝牌
EventsBaseTask.csv,desc_jp,里宝牌,里宝牌
EventsBaseTask.csv,desc_jp,北宝牌,北宝牌
EventsBaseTask.csv,desc_jp,一发,一发
EventsBaseTask.csv,desc_jp,抢杠,抢杠
EventsBaseTask.csv,desc_jp,三色同顺,三色同顺
EventsBaseTask.csv,desc_jp,三色同刻,三色同刻
EventsBaseTask.csv,desc_jp,三杠子,三杠子
EventsBaseTask.csv,desc_jp,对对和,对对和
EventsBaseTask.csv,desc_jp,三暗刻,三暗刻
EventsBaseTask.csv,desc_jp,一气通贯,一气通贯
EventsBaseTask.csv,desc_jp,岭上开花,岭上开花
EventsBaseTask.csv,desc_jp,海底摸月,海底摸月
EventsBaseTask.csv,desc_jp,河底捞鱼,河底捞鱼
EventsBaseTask.csv,desc_jp,纯全带幺九,纯全带幺九
EventsBaseTask.csv,desc_jp,清一色,清一色
EventsBaseTask.csv,desc_jp,清老头,清老头
EventsBaseTask.csv,desc_jp,绿一色,绿一色
EventsBaseTask.csv,desc_jp,四杠子,四杠子
