location,source,target
both_ui/bind_mail0|0|7|0,認証コード送信,인증코드 발송
both_ui/bind_mail0|0|8|0,連携,연동
both_ui/bind_mail0|0|10,メールアドレス:,메일 주소:
both_ui/bind_mail1|0|5|0,認証コード送信,인증코드 발송
both_ui/bind_mail1|0|6|0,連携,연동
both_ui/bind_mail1|0|8,メールアドレス:,메일 주소:
both_ui/bind_yostar_mail|0|5|0,認証コード送信,인증코드 발송
both_ui/bind_yostar_mail|0|6|0,連携,연동
both_ui/config|0|2,設定,설정
both_ui/config|0|4|1,ログアウト,로그아웃
both_ui/config|0|5|1,再起動,재시작
both_ui/config|0|7|0|0|1,BGM,BGM
both_ui/config|0|7|0|0|2|0,BGM,BGM
both_ui/config|0|7|0|0|3|0|0,メイン画面BGM,메인화면BGM
both_ui/config|0|7|0|0|3|0|6|0|0|3,連続再生,연속재생
both_ui/config|0|7|0|0|3|0|6|1|0|3,ランダム再生,랜덤재생
both_ui/config|0|7|0|0|3|1|0,対局画面BGM,대국화면BGM
both_ui/config|0|7|0|0|3|1|6|0|0|3,連続再生,연속재생
both_ui/config|0|7|0|0|3|1|6|1|0|3,ランダム再生,랜덤재생
both_ui/config|0|7|0|0|4|0,SE,SE
both_ui/config|0|7|0|0|5|0,リーチBGM,리치 BGM
both_ui/config|0|7|0|0|6|0,VOICE,VOICE
both_ui/config|0|7|0|0|8|0,SP Voice,SP Voice
both_ui/config|0|7|0|1|0|0|3,高画質モード,고화질 모드
both_ui/config|0|7|0|1|1|0|3,省エネモード,저화질 모드
both_ui/config|0|7|0|1|3,モード,모드
both_ui/config|0|7|0|1|4,（再起動で適用）,（재시작 시 적용）
both_ui/config|0|7|0|2|0|0|3,中文(简体),중국어(간체)
both_ui/config|0|7|0|2|1|0|3,中文(繁體),중국어(번체)
both_ui/config|0|7|0|2|2|0|3,English,영어
both_ui/config|0|7|0|2|5,（再起動で適用）,（재시작 시 적용）
both_ui/config|0|7|1|0|0,対局,대국
both_ui/config|0|7|1|0|1,打牌,타패
both_ui/config|0|7|1|0|2|0|3,ワンクリック,1번 클릭
both_ui/config|0|7|1|0|3|0|3,ダブルタップ,2번 클릭
both_ui/config|0|7|1|0|4|0|3,ダブルタップ打牌&ツモ切り,2번 클릭해 타패&패 버림
both_ui/config|0|7|1|1|0,コメント,코멘트
both_ui/config|0|7|1|1|2|0|3,全員,모두에게
both_ui/config|0|7|1|1|3|0|3,友人のみ,친구만
both_ui/config|0|7|1|1|4|0|3,無効,없음
both_ui/config|0|7|1|2|0,TileSet,TileSet
both_ui/config|0|7|1|2|1,(Can only be set at homepage),(Can only be set at homepage)
both_ui/config|0|7|2|0|0,Voice,Voice
both_ui/config|0|7|3|0|0,その他,그 밖에
both_ui/config|0|7|3|0|2|1,シリアルコード,시리얼 코드
both_ui/config|0|7|3|0|3|1,役種一覧,마작의 역
both_ui/config|0|7|3|0|4|0|1,利用規約,이용약관
both_ui/config|0|7|3|0|4|1|1,特定商取引法,特定商取引法
both_ui/config|0|7|3|0|4|2|1,資金決済法,자금결제법
both_ui/config|0|7|3|0|4|3|1,プライバシーポリシー,개인정보보호정책
both_ui/config|0|7|3|0|5|0|1,Contact Us,Contact Us
both_ui/config|0|7|3|0|5|1|1,TERMS OF SERVICE,TERMS OF SERVICE
both_ui/config|0|7|3|0|5|2|1,PRIVACY POLICY,PRIVACY POLICY
both_ui/config|0|7|3|0|6|1,お問い合わせ,문의
both_ui/config|0|7|3|0|7|0|1,ソフトウェア利用許諾契約,소프트웨어 이용허락계약
both_ui/config|0|7|3|2|0,アカウント設定,계정 설정
both_ui/config|0|7|3|2|2|1|0|0,未認証,未認証
both_ui/config|0|7|3|2|2|1|1,（タップで連携設定できます）,（클릭하여 연동설정을 할 수 있습니다）
both_ui/config|0|7|3|2|2|2|0,連携済み,연동완료
both_ui/config|0|7|3|2|3|0,手机认证：,手机认证：
both_ui/config|0|7|3|2|3|1|0|0,未验证,未验证
both_ui/config|0|7|3|2|3|1|1,（点击绑定）,（点击绑定）
both_ui/config|0|7|3|2|3|2|0,非登陆凭证,非登陆凭证
both_ui/config|0|7|3|2|3|2|1,(12******3456),(12******3456)
both_ui/config|0|7|3|2|3|2|3,解除绑定,解除绑定
both_ui/config|0|7|3|3|0,アカウント設定,계정 설정
both_ui/config|0|7|3|3|2|1|0|0,連携,연동
both_ui/config|0|7|3|3|2|1|0|1,連携されていません,연동되어 있지 않습니다.
both_ui/config|0|7|3|3|2|2|1,（クリックで連携解除）,（클릭하여 연동 해제）
both_ui/config|0|8|0|0,その他,그 밖에
both_ui/config|0|8|1|0,VOICE,VOICE
both_ui/config|0|8|2|0,打牌タイプ,타패 타입
both_ui/config|0|8|3|0,一般,일반
both_ui/dmm_buy_pop|0|3|0,はい,예
both_ui/dmm_buy_pop|0|4|0,いいえ,아니오
both_ui/dmm_kefu|0|2,サポート窓口：https://mahjongsoul.com/feedback,고객센터：https://mahjongsoul.com/feedback
both_ui/dmm_kefu|0|3,お問い合わせ,문의
both_ui/getreward|0|3,閉じる,닫기
both_ui/gettitle|0|2,称号リストに入れました,칭호목록에 삽입했습니다.
both_ui/gitfcode|0|2,シリアルコード,시리얼 코드
both_ui/gitfcode|0|3,シリアルコードを入力してください,시리얼 코드를 이력해주세요.
both_ui/gitfcode|0|5|0,はい,예
both_ui/infolite|0|2|0,はい,예
both_ui/infolite_title|0|2|0,はい,예
both_ui/invite|0|1|0|0,5分間通知しない,5분간 연락 없음
both_ui/invite|0|2|0|0,いいえ,아니오
both_ui/invite|0|3|0|0,参加,참가
both_ui/invite|0|4,友人対戦への招待,친선전 초대
both_ui/invite|0|8,3分後に拒否します,3분 후 거부
both_ui/itemdetail|0|6|0,使用,사용
both_ui/itemdetail|0|7|0,入手方法：,입수방법：
both_ui/itemdetail|0|7|2|1|0|0,画面移動,화면전환
both_ui/itemdetail|0|7|3|1|0|0,画面移動,화면전환
both_ui/itemdetail|0|7|4|1|0|0,画面移動,화면전환
both_ui/itemdetail|0|7|5|1|0|0,画面移動,화면전환
both_ui/itemdetail|0|7|6|1|0|0,画面移動,화면전환
both_ui/mycard_pay_info|0|3|0,はい,예
both_ui/need_bind_mail|0|2|0,立即绑定,立即绑定
both_ui/need_bind_mail|0|4,您先需要绑定并验证邮箱，才能进行付费,您先需要绑定并验证邮箱，才能进行付费
both_ui/otherplayerinfo|0|2|1|1,友人申請,친구신청
both_ui/otherplayerinfo|0|2|4|5|2,/,/
both_ui/otherplayerinfo|0|2|5|1|0,友人戦,친선전
both_ui/otherplayerinfo|0|2|5|2|0,段位戦,등급전
both_ui/otherplayerinfo|0|2|5|3|0,試練の道,시련의 길
both_ui/otherplayerinfo|0|2|6|1|0|0|0,ハイライト,하이라이트
both_ui/otherplayerinfo|0|2|6|1|0|3,まだありません,아직 없습니다.
both_ui/otherplayerinfo|0|2|6|1|1|0,攻,공
both_ui/otherplayerinfo|0|2|6|1|1|2,防,방
both_ui/otherplayerinfo|0|2|6|1|1|4,速,속
both_ui/otherplayerinfo|0|2|6|1|1|6,運,운
both_ui/otherplayerinfo|0|2|6|1|1|8|0,攻,공
both_ui/otherplayerinfo|0|2|6|1|1|8|1,防,방
both_ui/otherplayerinfo|0|2|6|1|1|8|2,速,속
both_ui/otherplayerinfo|0|2|6|1|1|8|3,運,운
both_ui/otherplayerinfo|0|2|6|1|1|9|0,スタイル,스타일
both_ui/otherplayerinfo|0|2|6|1|2|6,4,4
both_ui/otherplayerinfo|0|2|6|1|2|6|0,位,위
both_ui/otherplayerinfo|0|2|6|1|2|7,3,3
both_ui/otherplayerinfo|0|2|6|1|2|7|0,位,위
both_ui/otherplayerinfo|0|2|6|1|2|8,2,2
both_ui/otherplayerinfo|0|2|6|1|2|8|0,位,위
both_ui/otherplayerinfo|0|2|6|1|2|9,1,1
both_ui/otherplayerinfo|0|2|6|1|2|9|0,位,위
both_ui/otherplayerinfo|0|2|6|1|2|10|0,対戦記録,대전기록
both_ui/otherplayerinfo|0|2|6|1|3|0|0,対戦詳細,대전상세
both_ui/otherplayerinfo|0|2|6|1|4|0|2,東風戦,동풍전
both_ui/otherplayerinfo|0|2|6|1|4|1|0,一位率,1위율
both_ui/otherplayerinfo|0|2|6|1|4|1|2,二位率,2위율
both_ui/otherplayerinfo|0|2|6|1|4|1|4,三位率,3위율
both_ui/otherplayerinfo|0|2|6|1|4|1|6|0,四位率,4위율
both_ui/otherplayerinfo|0|2|6|1|4|1|7|0,飛び率,들통율
both_ui/otherplayerinfo|0|2|6|1|4|1|8,対戦数,대전 수
both_ui/otherplayerinfo|0|2|6|1|4|1|10,平均和了,평균타점
both_ui/otherplayerinfo|0|2|6|1|4|1|12,平均順位,평균순위
both_ui/otherplayerinfo|0|2|6|1|4|1|14,最大連荘,최대연짱
both_ui/otherplayerinfo|0|2|6|1|4|1|16,和了巡数,화료 순
both_ui/otherplayerinfo|0|2|6|1|4|1|18,和了率,화료율
both_ui/otherplayerinfo|0|2|6|1|4|1|20,ツモ率,쯔모율
both_ui/otherplayerinfo|0|2|6|1|4|1|22,放銃率,방총률
both_ui/otherplayerinfo|0|2|6|1|4|1|24,副露率,후로율
both_ui/otherplayerinfo|0|2|6|1|4|1|26,立直率,리치율
both_ui/otherplayerinfo|0|2|6|1|5|0|2,半荘戦,반장전
both_ui/otherplayerinfo|0|2|6|1|5|1|0,一位率,1위율
both_ui/otherplayerinfo|0|2|6|1|5|1|2,二位率,2위율
both_ui/otherplayerinfo|0|2|6|1|5|1|4,三位率,3위율
both_ui/otherplayerinfo|0|2|6|1|5|1|6|0,四位率,4위율
both_ui/otherplayerinfo|0|2|6|1|5|1|7|0,飛び率,들통율
both_ui/otherplayerinfo|0|2|6|1|5|1|8,対戦数,대전 수
both_ui/otherplayerinfo|0|2|6|1|5|1|10,平均和了,평균타점
both_ui/otherplayerinfo|0|2|6|1|5|1|12,平均順位,평균순위
both_ui/otherplayerinfo|0|2|6|1|5|1|14,最大連荘,최대연짱
both_ui/otherplayerinfo|0|2|6|1|5|1|16,和了巡数,화료 순
both_ui/otherplayerinfo|0|2|6|1|5|1|18,和了率,화료율
both_ui/otherplayerinfo|0|2|6|1|5|1|20,ツモ率,쯔모율
both_ui/otherplayerinfo|0|2|6|1|5|1|22,放銃率,방총률
both_ui/otherplayerinfo|0|2|6|1|5|1|24,副露率,후로율
both_ui/otherplayerinfo|0|2|6|1|5|1|26,立直率,리치율
both_ui/otherplayerinfo|0|2|6|1|6|0|2,役達成回数,역 완성 횟수
both_ui/otherplayerinfo|0|2|6|1|7|0|2,ローカル役達成回数,로컬 역 완성 횟수
both_ui/otherplayerinfo|0|3|1,コメントがありません,코멘트가 없습니다.
both_ui/otherplayerinfo|0|3|3|0|0,送信,송신
both_ui/otherplayerinfo|0|3|4,プレイヤーはコメント機能を友人のみ有効にしています。,해당 플레이어는 코멘트를 친구만 활성화 중입니다.
both_ui/otherplayerinfo|0|3|6|1|4|0|0,最近,최근
both_ui/otherplayerinfo|0|3|6|1|4|0|2,全部,전부
both_ui/otherplayerinfo|0|3|8|2,挨拶がありません,인사말이 없습니다.
both_ui/otherplayerinfo|0|3|8|3,挨拶,인사말
both_ui/otherplayerinfo|0|5|0,4人戦,4인전
both_ui/otherplayerinfo|0|6|0,3人戦,3인전
both_ui/otherplayerinfo|0|7|0,コメント,코멘트
both_ui/otherplayerinfo_en|0|2|1|1,友人申請,친구신청
both_ui/otherplayerinfo_en|0|2|4|5|2,/,/
both_ui/otherplayerinfo_en|0|2|5|1|0,友人戦,친선전
both_ui/otherplayerinfo_en|0|2|5|2|0,段位戦,등급전
both_ui/otherplayerinfo_en|0|2|5|3|0,試練の道,시련의 길
both_ui/otherplayerinfo_en|0|2|6|1|0|0|0,ハイライト,하이라이트
both_ui/otherplayerinfo_en|0|2|6|1|0|3,まだありません,아직 없습니다.
both_ui/otherplayerinfo_en|0|2|6|1|1|0,攻,공
both_ui/otherplayerinfo_en|0|2|6|1|1|2,防,방
both_ui/otherplayerinfo_en|0|2|6|1|1|4,速,속
