location,context,source,target
ActivityActivity.csv,name_jp,圣夜的宝物,圣夜的宝物
ActivityActivity.csv,name_jp,圣夜的礼物箱,圣夜的礼物箱
ActivityActivity.csv,name_jp,新角色 新装版up,新角色 新装版up
ActivityActivity.csv,name_jp,春节夺宝战,春节夺宝战
ActivityActivity.csv,name_jp,春节的礼品箱,春节的礼品箱
ActivityActivity.csv,name_jp,二階堂のご褒美,二階堂のご褒美
ActivityActivity.csv,name_jp,報酬交換,보상교환
ActivityActivity.csv,name_jp,对局点数活动,对局点数活动
ActivityActivity.csv,name_jp,排名活动,排名活动
ActivityActivity.csv,name_jp,古役活动,古役活动
ActivityActivity.csv,name_jp,夏の神社参拝,夏の神社참배
ActivityActivity.csv,name_jp,ビーチパーティ,비치파티
ActivityActivity.csv,name_jp,月宮殿のお役目,月宮殿のお役目
ActivityActivity.csv,name_jp,月宮殿の商い処,月宮殿の商い処
ActivityActivity.csv,name_jp,二之宮花の休日チャレンジ,니노미야 하나의 휴일 챌린지
ActivityActivity.csv,name_jp,ドラさんモード,도라상 모드
ActivityActivity.csv,name_jp,ハロウィンイベント,ハロウィン이벤트
ActivityActivity.csv,name_jp,ハロウィン交換所,ハロウィン교환所
ActivityActivity.csv,name_jp,千織のお悩み,千織のお悩み
ActivityActivity.csv,name_jp,配牌公開,配牌公開
ActivityActivity.csv,name_jp,魂天初詣,魂天初詣
ActivityActivity.csv,name_jp,初詣屋台,初詣屋台
ActivityActivity.csv,name_jp,春節期間限定\\nスタンプ交換所,春節기간한정\\nスタンプ교환所
ActivityActivity.csv,name_jp,芳華春,芳華春
ActivityActivity.csv,name_jp,起動：春休み作戦,起動：春休み作戦
ActivityActivity.csv,name_jp,確認：作戦進捗,確認：作戦進捗
ActivityActivity.csv,name_jp,一姫の\\nバイト大冒険,이치히메の\\nバイト大冒険
ActivityActivity.csv,name_jp,バイト大冒険\\nのクエスト,バイト大冒険\\nのクエスト
ActivityActivity.csv,name_jp,バイト大冒険\\nの報酬,バイト大冒険\\nの報酬
ActivityActivity.csv,name_jp,メイドの務め,メイドの務め
ActivityActivity.csv,name_jp,甘口派？辛口派？,새콤？달콤？
ActivityActivity.csv,name_jp,どっちも派！,어떤 거든 교환!
ActivityActivity.csv,name_jp,朝葉高校体育祭,아사노하고교 운동회
ActivityActivity.csv,name_jp,試練の道1st Season,시련의 길 시즌1
AudioBgm.csv,name_jp,早春の花見,早春の花見
AudioBgm.csv,name_jp,真夏の律動,真夏の律動
AudioBgm.csv,unlock_desc_jp,イベント限定,이벤트限定
AudioBgm.csv,name_jp,竹取の囁き,竹取の囁き
CharacterEmoji.csv,unlock_desc_jp,契約を結ぶ,계약성립
CharacterEmoji.csv,unlock_desc_jp,イベント,이벤트
CharacterEmoji.csv,after_unlock_desc_jp,2019.09.28,2019.09.28
CharacterEmoji.csv,after_unlock_desc_jp,2019.10.31,2019.10.31
CharacterEmoji.csv,after_unlock_desc_jp,2019.11.10,2019.11.10
CharacterEmoji.csv,after_unlock_desc_jp,2019.12.12,2019.12.12
CharacterEmoji.csv,after_unlock_desc_jp,2019.12.27,2019.12.27
CharacterEmoji.csv,unlock_desc_jp,スタンプ交換所,スタンプ교환所
CharacterEmoji.csv,after_unlock_desc_jp,2020.2.29,2020.2.29
CharacterEmoji.csv,unlock_desc_jp,着せ替え入手,코스튬입수
CharacterEmoji.csv,after_unlock_desc_jp,クリスマスフェス,크리스마스 페스티벌
CharacterEmoji.csv,after_unlock_desc_jp,仮装舞踏会,가면 무도회
CharacterEmoji.csv,after_unlock_desc_jp,ビーチパーティ,비치파티
CharacterEmoji.csv,after_unlock_desc_jp,新年初詣,신년참배
CharacterEmoji.csv,after_unlock_desc_jp,春容万象,춘용만상
ChestChest.csv,name_jp,お祈り,기원
ChestChest.csv,desc_jp,祈りをするたびに信仰1つ入手します。同時に、雀士キャラクターと出会ったり、各種装飾品や贈り物を入手したりできます。\\n\\n雀士キャラクター入手確率：5%\\n装飾品入手確率：15%\\n贈り物入手確率：80%\\n\\n再度入手した雀士キャラクターは願いの石に変換されます。\\n再度入手した装飾品は星の石に変換されます。,"기원을 하면 신앙을 1개 입수합니다. 또한 작사 캐릭터, 장식품, 선물을 입수할수도 있습니다. \\n\\n작사 캐릭터입수 확률：5%\\n장식품 입수 확률：15%\\n선물 입수 확률：80%\\n\\n중복 작사 캐릭터는 소원의 돌로 변환됩니다.\\n중복 장식품은 별의 돌로 변환됩니다."
ChestChest.csv,name_jp,祈願,祈願
ChestChestShop.csv,name_jp,三上千織,미카미 치오리
ChestChestShop.csv,name_jp,藤田佳奈,후지타 카나
ChestChestShop.csv,name_jp,相原舞,아이하라 마이
ChestChestShop.csv,name_jp,撫子,나데시코
ChestChestShop.csv,name_jp,八木唯,야기 유이
ChestChestShop.csv,name_jp,九条璃雨,쿠죠 리우
ChestChestShop.csv,name_jp,立直演出：青炎,리치연출：青炎
ChestChestShop.csv,name_jp,立直演出：凍結,리치연출：凍結
ChestChestShop.csv,name_jp,立直演出：火焔,리치연출：火焔
ChestChestShop.csv,name_jp,和了演出：黒炎,화료연출：黒炎
ChestChestShop.csv,name_jp,和了演出：花火,화료연출：花火
ChestChestShop.csv,name_jp,和了演出：爆炎,화료연출：爆炎
ChestChestShop.csv,name_jp,和了演出：烈風,화료연출：烈風
ChestChestShop.csv,name_jp,和了演出：桜吹雪,화료연출：桜吹雪
ChestChestShop.csv,name_jp,子ネコの手,새끼 고양이의 손
ChestChestShop.csv,name_jp,爆竹の立直棒,폭죽 리치봉
ChestChestShop.csv,name_jp,水餃子の立直棒,水餃子の立直棒
ChestChestShop.csv,name_jp,にぼし立直棒,멸치 리치봉
ChestChestShop.csv,name_jp,ねぎの立直棒,대파 리치봉
ChestChestShop.csv,name_jp,骨の立直棒,갈비뼈 리치봉
ChestChestShop.csv,name_jp,クリムゾン立直棒,クリムゾン立直棒
ChestChestShop.csv,name_jp,24Kゴールド棒,24K 금 막대
ChestChestShop.csv,name_jp,『真剣勝負』,『진검승부』
ChestChestShop.csv,name_jp,『激闘』,『결투』
ChestChestShop.csv,name_jp,新春の雀卓,新春の雀卓
ChestChestShop.csv,name_jp,立直演出：残影,리치연출：残影
ChestChestShop.csv,name_jp,立直演出：羽,리치연출：羽
ChestChestShop.csv,name_jp,和了演出：炎の嵐,화료연출：炎の嵐
ChestChestShop.csv,name_jp,和了演出：電子,화료연출：電子
ChestChestShop.csv,name_jp,和了演出：赤い薔薇,화료연출：赤い薔薇
ChestChestShop.csv,name_jp,ジニア,지니아
ChestChestShop.csv,name_jp,カーヴィ,카비
ChestChestShop.csv,name_jp,四宮夏生,시노미야 나츠키
ChestChestShop.csv,name_jp,ワン次郎,왕지로
ChestChestShop.csv,name_jp,一ノ瀬空,이치노세 소라
ChestChestShop.csv,name_jp,明智英樹,아케치 히데키
ChestChestShop.csv,name_jp,立直演出：ドットコイン,리치연출：ドット코인
ChestChestShop.csv,name_jp,立直演出：龍舞,리치연출：龍舞
ChestChestShop.csv,name_jp,和了演出：ドットKO,화료연출：ドットKO
ChestChestShop.csv,name_jp,和了演出：逆鱗,화료연출：逆鱗
ChestChestShop.csv,name_jp,悪断ちの立直棒,悪断ちの立直棒
ChestChestShop.csv,name_jp,アイスバーの立直棒,아이스크림 리치봉
ChestChestShop.csv,name_jp,サラ,사라
ChestChestShop.csv,name_jp,二之宮 花,二之宮 花
ChestChestShop.csv,name_jp,『出陣』,『출전』
ChestChestShop.csv,name_jp,雀魂夏祭りの雀卓,雀魂夏祭りの雀卓
ChestChestShop.csv,name_jp,スイカの雀卓,スイカの雀卓
ChestChestShop.csv,name_jp,和了演出：ゴースト,화료연출：ゴースト
ChestChestShop.csv,name_jp,立直演出：コウモリ,리치연출：コウモリ
ChestChestShop.csv,name_jp,小悪魔の立直棒,소악마의 리치봉
ChestChestShop.csv,name_jp,ゴーストの麻雀牌,ゴーストの麻雀牌
ChestChestShop.csv,name_jp,白石奈々,시라이시 나나
ChestChestShop.csv,name_jp,小鳥遊雛田,타카나시 히나타
ChestChestShop.csv,name_jp,『一触即発』,『일촉즉발』
ChestChestShop.csv,name_jp,和了演出：スポットライト,화료연출：スポットライト
ChestChestShop.csv,name_jp,和了演出：マジカル,화료연출：マジカル
ChestChestShop.csv,name_jp,立直演出：非常ベル,리치연출：非常ベル
ChestChestShop.csv,name_jp,立直演出：マジカル,리치연출：マジカル
ChestChestShop.csv,name_jp,マジカルの立直棒,マジカルの立直棒
ChestChestShop.csv,name_jp,五十嵐陽菜,이가라시 하루나
ChestChestShop.csv,name_jp,涼宮杏樹,스즈미야 안즈
ChestChestShop.csv,name_jp,ジョセフ,조셉
ChestChestShop.csv,name_jp,斎藤治,사이토 오사무
ChestChestShop.csv,name_jp,和了演出：新春花火,화료연출：新春花火
ChestChestShop.csv,name_jp,立直演出：庚子の威,리치연출：庚子の威
ChestChestShop.csv,name_jp,金龍魚の立直棒,金龍魚の立直棒
ChestChestShop.csv,name_jp,お年玉の麻雀牌,신년の麻雀牌
ChestChestShop.csv,name_jp,錦鯉の雀卓,錦鯉の雀卓
ChestChestShop.csv,name_jp,北見紗和子,키타미 사와코
ChestChestShop.csv,name_jp,エイン,에인
ChestChestShop.csv,name_jp,和了演出：静寂な群星,화료연출：静寂な群星
ChestChestShop.csv,name_jp,和了演出：エリスの瞳,화료연출：エリスの瞳
ChestChestShop.csv,name_jp,立直演出：星隕,리치연출：星隕
ChestChestShop.csv,name_jp,立直演出：鮮血・ロンギヌス,리치연출：鮮血・ロンギヌス
ChestChestShop.csv,name_jp,荊棘のクリムソンムーンの立直棒,荊棘のクリムソンムーンの立直棒
ChestChestShop.csv,name_jp,願いの石,소원의 돌
DesktopChest.csv,name_jp,銀の宝箱,은색 보물상자
DesktopChest.csv,name_jp,金の宝箱,금색 보물상자
DesktopChest.csv,name_jp,玉の宝箱,옥색 보물상자
DesktopChest.csv,name_jp,王者の宝箱,왕자의 보물상자
DesktopChest.csv,name_jp,一姫の宝箱,이치히메의 보물상자
DesktopMatchmode.csv,room_name_jp,銅の間,동탁
DesktopMatchmode.csv,room_name_jp,銀の間,은탁
DesktopMatchmode.csv,room_name_jp,金の間,금탁
DesktopMatchmode.csv,room_name_jp,玉の間,옥탁
DesktopMatchmode.csv,room_name_jp,乱闘の間,난투탁
DesktopMatchmode.csv,room_name_jp,王座の間,왕좌탁
DesktopMatchmode.csv,room_name_jp,交流の間,교류탁
DesktopMatchmode.csv,room_name_jp,ドラさんモード,도라상 모드
DesktopMatchmode.csv,room_name_jp,配牌公開,配牌公開
DesktopMatchmode.csv,room_name_jp,龍の割目,龍の割目
DesktopMatchmode.csv,room_name_jp,試練の道,시련의 길
EventsBaseTask.csv,desc_jp,対戦で1回ロンあがりする,대전에서 1회 론 화료
EventsBaseTask.csv,desc_jp,対戦で合計6局放銃しないで最後まで打つ,대전에서 합계 6회 론 당하지 않고 게임 완료
EventsBaseTask.csv,desc_jp,立直を含めて1回あがる,리치를 포함하여 1회 화료
EventsBaseTask.csv,desc_jp,立直を含めて3回あがる,리치를 포함하여 3회 화료
EventsBaseTask.csv,desc_jp,立直を含めて5回和了する,리치를 포함하여 5회 화료하기
EventsBaseTask.csv,desc_jp,断幺九を含めて2回あがる,탕야오를 포함하여 2회 화료
EventsBaseTask.csv,desc_jp,断幺九を含めて4回和了する,탕야오를 포함하여 4회 화료하기
EventsBaseTask.csv,desc_jp,断幺九を含めて6回あがる,탕야오를 포함하여 6회 화료
EventsBaseTask.csv,desc_jp,平和を含めて1回あがる,핑후를 포함하여 1회 화료
EventsBaseTask.csv,desc_jp,平和を含めて3回あがる,핑후를 포함하여 3회 화료
EventsBaseTask.csv,desc_jp,平和を含めて5回あがる,핑후를 포함하여 5회 화료
EventsBaseTask.csv,desc_jp,混一色または清一色を含めて1回和了する,혼일색 또는 청일색을 포함하여 1회 화료하기
EventsBaseTask.csv,desc_jp,混一色または清一色を含めて2回あがる,혼일색 또는 청일색을 포함하여 2회 화료
EventsBaseTask.csv,desc_jp,清一色を含めて1回あがる,청일색を含めて1회 화료
EventsBaseTask.csv,desc_jp,一盃口を含めて1回あがる,이페코를 포함하여 1회 화료
EventsBaseTask.csv,desc_jp,一盃口を含めて2回あがる,이페코를 포함하여 2회 화료
EventsBaseTask.csv,desc_jp,二盃口を含めて1回あがる,량페코を含めて1회 화료
EventsBaseTask.csv,desc_jp,混全帯幺九または純全帯幺九を含めて1回あがる,混全帯幺九または준챤타を含めて1회 화료
EventsBaseTask.csv,desc_jp,混全帯幺九または純全帯幺九を含めて2回あがる,混全帯幺九または준챤타を含めて2회 화료
EventsBaseTask.csv,desc_jp,裏ドラ（数不問）を含めて1回あがる,뒷도라（数不問）を含めて1회 화료
EventsBaseTask.csv,desc_jp,裏ドラ（数不問）を含めて2回あがる,뒷도라（数不問）を含めて2회 화료
EventsBaseTask.csv,desc_jp,裏ドラ（数不問）を含めて5回あがる,뒷도라（数不問）を含めて5회 화료
EventsBaseTask.csv,desc_jp,三色同順を含めて1回あがる,三色同順を含めて1회 화료
EventsBaseTask.csv,desc_jp,三色同刻を含めて1回あがる,三色同刻を含めて1회 화료
EventsBaseTask.csv,desc_jp,対々和を含めて1回和了する,対々和を含めて1회 화료하기
EventsBaseTask.csv,desc_jp,立直、断幺九と平和を含めて1回あがる,立直、断幺九と핑후를 포함하여 1회 화료
EventsBaseTask.csv,desc_jp,三色同順と純全帯幺九を含めて1回あがる,三色同順と준챤타を含めて1회 화료
EventsBaseTask.csv,desc_jp,役牌:白・發・中のいずれかを含めて1回あがる,역패:白・發・中のいずれかを含めて1회 화료
EventsBaseTask.csv,desc_jp,役牌:自風牌・場風牌のいずれかを含めて1回あがる,역패:自風牌・場風牌のいずれかを含めて1회 화료
EventsBaseTask.csv,desc_jp,立直,리치
EventsBaseTask.csv,desc_jp,门前清自摸和,门前清自摸和
EventsBaseTask.csv,desc_jp,平和,핑후
EventsBaseTask.csv,desc_jp,一盃口,이페코 (일배구)
EventsBaseTask.csv,desc_jp,七对子,치또이
EventsBaseTask.csv,desc_jp,两立直,两立直
EventsBaseTask.csv,desc_jp,二盃口,량페코
EventsBaseTask.csv,desc_jp,天和,천화
EventsBaseTask.csv,desc_jp,地和,지화
EventsBaseTask.csv,desc_jp,四暗刻,쓰앙코
EventsBaseTask.csv,desc_jp,四暗刻单骑,四暗刻单骑
EventsBaseTask.csv,desc_jp,国士无双,국사무쌍
EventsBaseTask.csv,desc_jp,国士十三面,국사13면
EventsBaseTask.csv,desc_jp,九莲宝灯,九莲宝灯
EventsBaseTask.csv,desc_jp,纯正九莲,纯正九莲
EventsBaseTask.csv,desc_jp,断幺九,탕야오
EventsBaseTask.csv,desc_jp,红宝牌,红宝牌
EventsBaseTask.csv,desc_jp,宝牌,宝牌
EventsBaseTask.csv,desc_jp,里宝牌,里宝牌
EventsBaseTask.csv,desc_jp,北宝牌,北宝牌
EventsBaseTask.csv,desc_jp,一发,一发
EventsBaseTask.csv,desc_jp,抢杠,抢杠
EventsBaseTask.csv,desc_jp,三色同顺,三色同顺
EventsBaseTask.csv,desc_jp,三色同刻,삼색동각
EventsBaseTask.csv,desc_jp,三杠子,三杠子
EventsBaseTask.csv,desc_jp,对对和,对对和
EventsBaseTask.csv,desc_jp,三暗刻,산안커
EventsBaseTask.csv,desc_jp,一气通贯,일기통관
EventsBaseTask.csv,desc_jp,岭上开花,岭上开花
EventsBaseTask.csv,desc_jp,海底摸月,해저로월
EventsBaseTask.csv,desc_jp,河底捞鱼,河底捞鱼
EventsBaseTask.csv,desc_jp,纯全带幺九,纯全带幺九
EventsBaseTask.csv,desc_jp,清一色,청일색
EventsBaseTask.csv,desc_jp,清老头,清老头
EventsBaseTask.csv,desc_jp,绿一色,청일색
EventsBaseTask.csv,desc_jp,四杠子,四杠子
EventsBaseTask.csv,desc_jp,白,백
EventsBaseTask.csv,desc_jp,发,发
EventsBaseTask.csv,desc_jp,中,중
EventsBaseTask.csv,desc_jp,自风,自风
EventsBaseTask.csv,desc_jp,场风,场风
EventsBaseTask.csv,desc_jp,混全带幺九,챤타
EventsBaseTask.csv,desc_jp,混老头,混老头
EventsBaseTask.csv,desc_jp,小三元,소삼원
EventsBaseTask.csv,desc_jp,混一色,혼일색
